text,drug,effect,indexes
Intensive high-flux hemodiafiltration is often used in the management of vancomycin toxicity.,vancomycin,vancomycin toxicity,"{'drug': {'start_char': [73], 'end_char': [83]}, 'effect': {'start_char': [73], 'end_char': [92]}}"
Management of hypophosphatemia induced by high-flux hemodiafiltration for the treatment of vancomycin toxicity: intravenous phosphorus therapy versus use of a phosphorus-enriched dialysate.,vancomycin,vancomycin toxicity,"{'drug': {'start_char': [91], 'end_char': [101]}, 'effect': {'start_char': [91], 'end_char': [110]}}"
We describe 2 children with cerebral palsy who suffered significant morbidity immediately after treatment with hyperbaric oxygen.,hyperbaric oxygen,morbidity,"{'drug': {'start_char': [111], 'end_char': [128]}, 'effect': {'start_char': [68], 'end_char': [77]}}"
A 33-year-old male presented with brown discolouration of the fingernails following the application of 4% hydroquinone in sorbolene cream and 0.1% tretinoin cream to the face intermittently for 9 months.,0.1% tretinoin cream,brown discolouration of the fingernails,"{'drug': {'start_char': [142], 'end_char': [162]}, 'effect': {'start_char': [34], 'end_char': [73]}}"
A 33-year-old male presented with brown discolouration of the fingernails following the application of 4% hydroquinone in sorbolene cream and 0.1% tretinoin cream to the face intermittently for 9 months.,4% hydroquinone in sorbolene cream,brown discolouration of the fingernails,"{'drug': {'start_char': [103], 'end_char': [137]}, 'effect': {'start_char': [34], 'end_char': [73]}}"
Nail staining from hydroquinone cream.,hydroquinone,Nail staining,"{'drug': {'start_char': [19], 'end_char': [31]}, 'effect': {'start_char': [0], 'end_char': [13]}}"
Gangrene of the fingertips after bleomycin and methotrexate.,bleomycin,Gangrene,"{'drug': {'start_char': [33], 'end_char': [42]}, 'effect': {'start_char': [0], 'end_char': [8]}}"
Gangrene of the fingertips after bleomycin and methotrexate.,methotrexate,Gangrene,"{'drug': {'start_char': [47], 'end_char': [59]}, 'effect': {'start_char': [0], 'end_char': [8]}}"
This supports the well-reported potential of bleomycin to trigger acral vascular toxicity.,bleomycin,acral vascular toxicity,"{'drug': {'start_char': [45], 'end_char': [54]}, 'effect': {'start_char': [66], 'end_char': [89]}}"
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.,bleomycin,acute digital ischemia,"{'drug': {'start_char': [152], 'end_char': [161]}, 'effect': {'start_char': [72], 'end_char': [94]}}"
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.,methotrexate,acute digital ischemia,"{'drug': {'start_char': [166], 'end_char': [178]}, 'effect': {'start_char': [72], 'end_char': [94]}}"
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.,bleomycin,gangrene,"{'drug': {'start_char': [152], 'end_char': [161]}, 'effect': {'start_char': [99], 'end_char': [107]}}"
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.,methotrexate,gangrene,"{'drug': {'start_char': [166], 'end_char': [178]}, 'effect': {'start_char': [99], 'end_char': [107]}}"
Diarrhea-associated over-anticoagulation in a patient taking warfarin: therapeutic role of cholestyramine.,warfarin,Diarrhea-associated over-anticoagulation,"{'drug': {'start_char': [61], 'end_char': [69]}, 'effect': {'start_char': [0], 'end_char': [40]}}"
We present a case of significant over-anticoagulation temporally associated with a bout of protracted diarrhea in a patient on warfarin therapy.,warfarin,diarrhea,"{'drug': {'start_char': [127], 'end_char': [135]}, 'effect': {'start_char': [102], 'end_char': [110]}}"
We present a case of significant over-anticoagulation temporally associated with a bout of protracted diarrhea in a patient on warfarin therapy.,warfarin,over-anticoagulation,"{'drug': {'start_char': [127], 'end_char': [135]}, 'effect': {'start_char': [33], 'end_char': [53]}}"
"MI related to the use of activated and non-activated PCCs predominantly affects young patients who often have no preceding history of, or risk factors for, MI and tends to be associated with large cumulative doses of concentrate.",PCCs,MI,"{'drug': {'start_char': [53], 'end_char': [57]}, 'effect': {'start_char': [0, 156], 'end_char': [2, 158]}}"
Recombinant VIIa concentrate in the management of bleeding following prothrombin complex concentrate-related myocardial infarction in patients with haemophilia and inhibitors.,prothrombin complex concentrate,myocardial infarction,"{'drug': {'start_char': [69], 'end_char': [100]}, 'effect': {'start_char': [109], 'end_char': [130]}}"
We have safely used recombinant factor VIIa to treat bleeding in the immediate and long-term period following PCC-related MI.,PCC,MI,"{'drug': {'start_char': [110], 'end_char': [113]}, 'effect': {'start_char': [122], 'end_char': [124]}}"
"Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.",quinine,thrombocytopenia,"{'drug': {'start_char': [45, 166], 'end_char': [52, 173]}, 'effect': {'start_char': [118, 182], 'end_char': [134, 198]}}"
"Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.",quinine,thrombocytopenia,"{'drug': {'start_char': [45, 166], 'end_char': [52, 173]}, 'effect': {'start_char': [118, 182], 'end_char': [134, 198]}}"
"Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.",quinine,thrombocytopenia,"{'drug': {'start_char': [45, 166], 'end_char': [52, 173]}, 'effect': {'start_char': [118, 182], 'end_char': [134, 198]}}"
Occult quinine-induced thrombocytopenia.,quinine,thrombocytopenia,"{'drug': {'start_char': [7], 'end_char': [14]}, 'effect': {'start_char': [23], 'end_char': [39]}}"
"Only after three subsequent episodes of severe, symptomatic thrombocytopenia over the next four weeks did he say, upon repeat questioning, that he had continued to take quinine for night leg cramps.",quinine,thrombocytopenia,"{'drug': {'start_char': [169], 'end_char': [176]}, 'effect': {'start_char': [60], 'end_char': [76]}}"
An 8-year-old child with familial Mediterranean fever exhibited signs of colchicine intoxication while receiving prophylactic doses of the drug.,colchicine,colchicine intoxication,"{'drug': {'start_char': [73], 'end_char': [83]}, 'effect': {'start_char': [73], 'end_char': [96]}}"
"CONCLUSION: To the best of our knowledge, this is the first time colchicine intoxication in this age group has been described in the English literature.",colchicine,colchicine intoxication,"{'drug': {'start_char': [65], 'end_char': [75]}, 'effect': {'start_char': [65], 'end_char': [88]}}"
Near fatal acute colchicine intoxication in a child.,colchicine,colchicine intoxication,"{'drug': {'start_char': [17], 'end_char': [27]}, 'effect': {'start_char': [17], 'end_char': [40]}}"
Near fatal acute colchicine intoxication in a child.,colchicine,Near fatal,"{'drug': {'start_char': [17], 'end_char': [27]}, 'effect': {'start_char': [0], 'end_char': [10]}}"
Acute myeloid leukemia and lung cancer occurring in a chronic lymphocytic leukemia patient treated with fludarabine and autologous peripheral blood stem-cell transplantation.,fludarabine,Acute myeloid leukemia,"{'drug': {'start_char': [104], 'end_char': [115]}, 'effect': {'start_char': [0], 'end_char': [22]}}"
Acute myeloid leukemia and lung cancer occurring in a chronic lymphocytic leukemia patient treated with fludarabine and autologous peripheral blood stem-cell transplantation.,fludarabine,lung cancer,"{'drug': {'start_char': [104], 'end_char': [115]}, 'effect': {'start_char': [27], 'end_char': [38]}}"
We describe the exceptional development of AML and lung cancer in a patient with previously diagnosed CLL in minimal residual disease status after fludarabine treatment followed by autologous peripheral blood stem-cell transplantation.,fludarabine,AML,"{'drug': {'start_char': [147], 'end_char': [158]}, 'effect': {'start_char': [43], 'end_char': [46]}}"
We describe the exceptional development of AML and lung cancer in a patient with previously diagnosed CLL in minimal residual disease status after fludarabine treatment followed by autologous peripheral blood stem-cell transplantation.,fludarabine,lung cancer,"{'drug': {'start_char': [147], 'end_char': [158]}, 'effect': {'start_char': [51], 'end_char': [62]}}"
"In 2 of the 3 cases the patients were also taking lithium carbonate and beta-blockers, both of which could have contributed to the incontinence.",lithium carbonate,incontinence,"{'drug': {'start_char': [50], 'end_char': [67]}, 'effect': {'start_char': [131], 'end_char': [143]}}"
"In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.",paroxetine,incontinence,"{'drug': {'start_char': [144], 'end_char': [154]}, 'effect': {'start_char': [74], 'end_char': [86]}}"
"In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.",sertraline,incontinence,"{'drug': {'start_char': [159], 'end_char': [169]}, 'effect': {'start_char': [74], 'end_char': [86]}}"
"In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.",venlafaxine,incontinence,"{'drug': {'start_char': [224], 'end_char': [235]}, 'effect': {'start_char': [74], 'end_char': [86]}}"
This concerns 2 male patients who experienced incontinence while taking venlafaxine.,venlafaxine,incontinence,"{'drug': {'start_char': [72], 'end_char': [83]}, 'effect': {'start_char': [46], 'end_char': [58]}}"
Case studies in heparin-induced thrombocytopenia.,heparin,thrombocytopenia,"{'drug': {'start_char': [16], 'end_char': [23]}, 'effect': {'start_char': [32], 'end_char': [48]}}"
"Major points illustrated are, (1) occurrence of HIT with any dose or form of heparin; (2) misperceptions on the diagnostic criteria; (3) correct (thrombin inhibitors) and incorrect (platelet transfusions and warfarin) management; (4) influence of management strategy on clinical outcomes; (5) severity of the syndrome; and (6) potential for both anamnestic response to heparin and disappearance of HIT antibodies over time.",heparin,HIT,"{'drug': {'start_char': [77, 369], 'end_char': [84, 376]}, 'effect': {'start_char': [48, 398], 'end_char': [51, 401]}}"
Type II heparin-induced thrombocytopenia (HIT) is an immunological disorder characterized by antibodies to heparin-platelet factor 4 complexes and a high risk of thrombotic complications.,heparin,thrombocytopenia,"{'drug': {'start_char': [8, 107], 'end_char': [15, 114]}, 'effect': {'start_char': [24], 'end_char': [40]}}"
"After several unrevealing medical work-ups, he was found to have a high blood lead level (122 microg/dL); he has a history of scraping and sanding lead paint without adequate protective measures.",lead,high blood lead level,"{'drug': {'start_char': [78, 147], 'end_char': [82, 151]}, 'effect': {'start_char': [67], 'end_char': [88]}}"
"It also highlights a current major etiologic question, that is, whether and to what degree lead exposure contributes to the development of hypertension, and raises the issue of whether lead-induced hypertension constitutes a subset of hypertension that is especially amenable to therapy with dietary calcium.",lead,hypertension,"{'drug': {'start_char': [91, 185], 'end_char': [95, 189]}, 'effect': {'start_char': [139, 198, 235], 'end_char': [151, 210, 247]}}"
